Week	Date	Opponent	Result	Attendance
1	September 21, 1975	Pittsburgh Steelers	L 37–0	35853
2	September 28, 1975	at Houston Oilers	L 33–17	33765
3	October 5, 1975	Oakland Raiders	L 6–0	31095
4	October 12, 1975	Los Angeles Rams	L 13–10	37382
5	October 19, 1975	Kansas City Chiefs	L 12–10	26469
6	October 26, 1975	at Oakland Raiders	L 25–0	42796
7	November 1, 1975	at New York Giants	L 35–24	52032
8	November 9, 1975	New England Patriots	L 33–19	24349
9	November 16, 1975	Denver Broncos	L 27–17	26048
10	November 23, 1975	at Minnesota Vikings	L 28–13	43737
11	November 30, 1975	at Denver Broncos	L 13–10	44982
12	December 7, 1975	at Kansas City Chiefs	W 28–20	46888
13	December 15, 1975	New York Jets	W 24–16	49706
14	December 21, 1975	at Cincinnati Bengals	L 47–17	46474
