Date	Visitor	Score	Home	Decision	Attendance	Record
January 3	Edmonton	2 – 5	Nashville	Ellis	12676	19–18–2
January 5	Minnesota	1 – 4	Nashville	Ellis	17113	20–18–2
January 7	Nashville	2 – 5	Anaheim	Ellis	17174	20–19–2
January 8	Nashville	7 – 0	Los Angeles	Mason	14751	21–19–2
January 12	Nashville	1 – 2	Columbus	Mason	16230	21–19–3
January 13	Chicago	3 – 2	Nashville	Ellis	12484	21–19–4
January 15	Calgary	0 – 3	Nashville	Mason	11764	22–19–4
January 17	Anaheim	2 – 1	Nashville	Mason	14193	22–20–4
January 19	Nashville	5 – 2	St. Louis	Mason	19275	23–20–4
January 21	St. Louis	3 – 6	Nashville	Mason	13642	24–20–4
January 22	Nashville	4 – 0	Colorado	Ellis	15235	25–20–4
January 24	Nashville	3 – 4	Phoenix	Mason	12622	25–20–5
January 29	Nashville	1 – 3	Boston	Mason	14150	25–21–5
January 31	Columbus	2 – 4	Nashville	Mason	13745	26–21–5
