Week	Date	Opponent	Result	Attendance
1	September 29, 1946	Philadelphia Eagles	L 25-14	30500
2	October 6, 1946	at Green Bay Packers	W 21-17	27049
3	October 13, 1946	at Chicago Bears	T 28-28	44211
4	October 20, 1946	Detroit Lions	W 35-14	27928
5	October 27, 1946	at Chicago Cardinals	L 34-10	38180
6	November 3, 1946	at Detroit Lions	W 41-20	34447
7	November 10, 1946	Chicago Bears	L 27-21	68831
8	November 17, 1946	Chicago Cardinals	W 17-14	38271
9	November 24, 1946	at Boston Yanks	L 40-21	23689
10	December 1, 1946	at New York Giants	W 31-21	47366
11	December 8, 1946	Green Bay Packers	W 38-17	46838
