Place	Player	Country	Score	To par	Money ( $ )
1	Payne Stewart	United States	68-69-72-70=279	–1	625000
2	Phil Mickelson	United States	67-70-73-70=280	E	370000
T3	Vijay Singh	Fiji	69-70-73-69=281	+1	196792
T3	Tiger Woods	United States	68-71-72-70=281	+1	196792
5	Steve Stricker	United States	70-73-69-73=285	+5	130655
6	Tim Herron	United States	69-72-70-75=286	+6	116935
T7	David Duval	United States	67-70-75-75=287	+7	96260
T7	Jeff Maggert	United States	71-69-74-73=287	+7	96260
T7	Hal Sutton	United States	69-70-76-72=287	+7	96260
T10	Darren Clarke	Northern Ireland	73-70-74-71=288	+8	78863
T10	Billy Mayfair	United States	67-72-74-75=288	+8	78863
