Week	Date	Opponent	Result	Attendance
1	September 9, 1962	Houston Oilers	L 28–23	31236
2	September 15, 1962	Denver Broncos	L 23–20	30577
3	September 22, 1962	New York Titans	L 17–6	24024
4	September 30, 1962	at Dallas Texans	L 41–21	25500
5	October 7, 1962	at Houston Oilers	L 17–14	26350
6	October 13, 1962	San Diego Chargers	W 35–10	20074
7	October 20, 1962	Oakland Raiders	W 14–6	21037
8	October 28, 1962	at Denver Broncos	W 45–38	26051
9	November 3, 1962	Boston Patriots	T 28–28	33247
10	November 11, 1962	at San Diego Chargers	W 40–20	22204
11	November 18, 1962	at Oakland Raiders	W 10–6	11700
12	November 23, 1962	at Boston Patriots	L 21–10	20021
13	December 2, 1962	Dallas Texans	W 23–14	35261
14	December 8, 1962	at New York Titans	W 20–3	16453
