Week	Date	Opponent	Result	Attendance
1	September 26, 1954	at Chicago Cardinals	W 41–10	16780
2	October 2, 1954	at Baltimore Colts	L 20–14	27088
3	October 10, 1954	at Washington Redskins	W 51–21	21217
4	October 17, 1954	Chicago Cardinals	W 31–17	31256
5	October 24, 1954	Washington Redskins	W 24–7	22597
6	October 31, 1954	at Cleveland Browns	L 24–14	30448
7	November 7, 1954	at Pittsburgh Steelers	W 30–6	25158
8	November 14, 1954	Philadelphia Eagles	W 27–14	46565
9	November 21, 1954	Los Angeles Rams	L 17–16	27077
10	November 28, 1954	Cleveland Browns	L 16–7	45936
11	December 5, 1954	Pittsburgh Steelers	W 24–3	16856
12	December 12, 1954	at Philadelphia Eagles	L 29–14	28449
