Week	Date	Opponent	Result	Attendance
1	September 4, 1983	Minnesota Vikings	L 27–21	70087
2	September 11, 1983	at Detroit Lions	W 31–26	60095
3	September 15, 1983	Cincinnati Bengals	W 17–7	79700
4	September 25, 1983	at San Diego Chargers	W 30–24	49482
5	October 2, 1983	Seattle Seahawks	L 24–9	75446
6	October 9, 1983	New York Jets	W 10–7	78235
7	October 16, 1983	at Pittsburgh Steelers	L 44–17	59263
8	October 23, 1983	at Cincinnati Bengals	L 28–21	50047
9	October 30, 1983	Houston Oilers	W 25–19	68851
10	November 6, 1983	at Green Bay Packers	L 35–21	54089
11	November 13, 1983	Tampa Bay Buccaneers	W 20–0	56091
12	November 20, 1983	at New England Patriots	W 30–0	40987
13	November 27, 1983	Baltimore Colts	W 41–23	65812
14	December 4, 1983	at Denver Broncos	L 27–6	70912
15	December 11, 1983	at Houston Oilers	L 34–27	29746
16	December 18, 1983	Pittsburgh Steelers	W 30–17	72313
