Date	Visitor	Score	Home	Decision	Attendance	Record
January 4	Philadelphia	0 – 3	New Jersey	Biron	17625	19–15–4
January 5	Philadelphia	3 – 2	Toronto	Niittymaki	19412	20–15–4
January 8	Philadelphia	4 – 1	Atlanta	Niittymaki	13047	21–15–4
January 10	Philadelphia	6 – 2	NY Rangers	Niittymaki	18200	22–15–4
January 12	Boston	4 – 3	Philadelphia	Niittymaki	19792	22–15–5
January 13	Philadelphia	6 – 4	Washington	Biron	17713	23–15–5
January 16	Florida	3 – 5	Philadelphia	Niittymaki	19207	24–15–5
January 19	Philadelphia	5 – 3	NY Islanders	Biron	16234	25–15–5
January 20	Ottawa	1 – 6	Philadelphia	Niittymaki	19742	26–15–5
January 22	New Jersey	7 – 3	Philadelphia	Niittymaki	19677	26–16–5
January 24	Pittsburgh	3 – 4	Philadelphia	Biron	19807	27–16–5
January 29	Los Angeles	2 – 3	Philadelphia	Biron	19127	28–16–5
January 31	NY Rangers	4 – 0	Philadelphia	Niittymaki	19670	28–17–5
