Week	Date	Opponent	Result	Attendance
1	September 28, 1958	Cleveland Browns	L 30-27	69993
2	October 5, 1958	at San Francisco 49ers	W 33-3	73164
3	October 12, 1958	at Detroit Lions	W 42-28	41021
4	October 19, 1958	at Chicago Bears	L 31-10	41387
5	October 26, 1958	Detroit Lions	L 41-24	81703
6	November 2, 1958	Chicago Bears	W 41-35	100740
7	November 9, 1958	San Francisco 49ers	W 56-7	95082
8	November 16, 1958	at Green Bay Packers	W 20-7	28051
9	November 23, 1958	at Baltimore Colts	L 34-7	57557
10	November 30, 1958	at Chicago Cardinals	W 20-14	13041
11	December 6, 1958	Baltimore Colts	W 30-28	100202
12	December 14, 1958	Green Bay Packers	W 34-20	54634
