Week	Date	Opponent	Result	Attendance
1	September 4, 1983	at Cleveland Browns	W 27-21	70087
2	September 8, 1983	San Francisco 49ers	L 48-17	58167
3	September 18, 1983	at Tampa Bay Buccaneers	W 19-16 (OT)	57567
4	September 25, 1983	Detroit Lions	W 20-17	58254
5	October 2, 1983	Dallas Cowboys	L 37-24	60774
6	October 9, 1983	at Chicago Bears	W 23-14	59632
7	October 16, 1983	Houston Oilers	W 34-14	58910
8	October 23, 1983	at Green Bay Packers	W 20-17 (OT)	55236
9	October 30, 1983	at St. Louis Cardinals	L 41-31	42575
10	November 6, 1983	Tampa Bay Buccaneers	L 17-12	59239
11	November 13, 1983	Green Bay Packers	L 29-21	60113
12	November 20, 1983	at Pittsburgh Steelers	W 17-14	58417
13	November 27, 1983	at New Orleans Saints	L 17-16	59502
14	December 5, 1983	at Detroit Lions	L 13-2	79169
15	December 11, 1983	Chicago Bears	L 19-13	57880
16	December 17, 1983	Cincinnati Bengals	W 20-14	51565
