Date	Opponent	Score	Loss	Attendance	Record
August 1	Indians	3 - 0	Clancy (10-7)	38435	60-43
August 2	Indians	11 - 5	Akerfelds (0-2)	33351	61-43
August 3	@ White Sox	14 - 5	Bannister (6-9)	12193	62-43
August 4	@ White Sox	4 - 1	Allen (0-6)	13319	63-43
August 5	@ White Sox	3 - 2	Dotson (8-8)	13360	64-43
August 6	@ Indians	14 - 5	Clancy (10-8)	7978	64-44
August 7	@ Indians	15 - 1	Akerfelds (0-3)	24049	65-44
August 8	@ Indians	3 - 1	Núñez (1-1)	16706	65-45
August 9	@ Indians	5 - 1	Schrom (5-8)	13890	66-45
August 10	@ Red Sox	9 - 1	Clancy (10-9)	30606	66-46
August 11	@ Red Sox	8 - 3	Stanley (3-12)	32555	67-46
August 12	@ Red Sox	10 - 4	Sellers (4-5)	33403	68-46
August 13	White Sox	10 - 3	Niekro (7-12)	45152	68-47
August 14	White Sox	3 - 2	DeLeón (5-11)	37236	69-47
August 15	White Sox	1 - 0	Clancy (10-10)	37155	69-48
August 16	White Sox	6 - 4	Searage (2-3)	41384	70-48
August 18	@ Athletics	2 - 1	Eckersley (6-6)	34823	71-48
August 19	@ Athletics	7 - 3	Cerutti (9-3)	16039	71-49
August 20	@ Athletics	7 - 6	Cadaret (2-1)	12607	72-49
August 21	@ Angels	3 - 1	Niekro (7-13)	47925	72-50
August 22	@ Angels	2 - 0	Witt (15-9)	34209	73-50
August 23	@ Angels	5 - 2	Stieb (13-6)	42000	73-51
August 24	@ Mariners	7 - 3	Morgan (10-14)	11869	74-51
August 25	@ Mariners	6 - 3	Moore (6-16)	12367	75-51
August 27	Athletics	9 - 4	Cadaret (3-2)	38026	76-51
August 28	Athletics	3 - 2	Stieb (13-7)	32256	76-52
August 29	Athletics	6 - 5 (10)	Eichhorn (10-6)	42388	76-53
August 30	Athletics	13 - 3	Rijo (2-7)	38211	77-53
August 31	Angels	8 - 7 (11)	Henke (0-5)	30224	77-54
