Code	Type	Name	Area (km 2 )	Population	Regional County Municipality	Region
46005	VL	Abercorn	27.84	329	Brome-Missisquoi	16
46010	M	Frelighsburg	123.27	1109	Brome-Missisquoi	16
46017	M	Saint-Armand	84.26	1282	Brome-Missisquoi	16
46025	M	Pike River	43.58	572	Brome-Missisquoi	16
46030	M	Stanbridge Station	18.11	341	Brome-Missisquoi	16
46035	V	Bedford	4.57	2656	Brome-Missisquoi	16
46040	CT	Bedford	31.06	809	Brome-Missisquoi	16
46045	M	Stanbridge East	49.05	889	Brome-Missisquoi	16
46050	V	Dunham	200.99	3346	Brome-Missisquoi	16
46058	V	Sutton	243.51	3794	Brome-Missisquoi	16
46065	M	Bolton-Ouest	103.59	710	Brome-Missisquoi	16
46070	VL	Brome	11.75	251	Brome-Missisquoi	16
46075	V	Lac-Brome	209.37	5623	Brome-Missisquoi	16
46078	V	Bromont	108.36	5814	Brome-Missisquoi	16
46080	V	Cowansville	48.79	12470	Brome-Missisquoi	16
46085	M	East Farnham	5.29	523	Brome-Missisquoi	16
46090	M	Brigham	84.8	2356	Brome-Missisquoi	16
46095	M	Saint-Ignace-de-Stanbridge	69.33	674	Brome-Missisquoi	16
46100	M	Notre-Dame-de-Stanbridge	44.57	728	Brome-Missisquoi	16
46105	M	Sainte-Sabine	55.42	1090	Brome-Missisquoi	16
46112	V	Farnham	92.53	7922	Brome-Missisquoi	16
47010	M	Saint-Alphonse-de-Granby	50.52	2938	La Haute-Yamaska	16
47017	V	Granby	156.68	59606	La Haute-Yamaska	16
47025	V	Waterloo	11.52	4403	La Haute-Yamaska	16
47030	VL	Warden	5.28	336	La Haute-Yamaska	16
47035	CT	Shefford	116.62	5760	La Haute-Yamaska	16
47040	M	Saint-Joachim-de-Shefford	126.98	1179	La Haute-Yamaska	16
47047	M	Roxton Pond	102.11	3659	La Haute-Yamaska	16
47055	M	Sainte-Cécile-de-Milton	74.04	2017	La Haute-Yamaska	16
48005	M	Béthanie	47.29	338	Acton	16
48010	VL	Roxton Falls	5.25	1308	Acton	16
48015	CT	Roxton	149.07	1048	Acton	16
48020	P	Sainte-Christine	89.4	755	Acton	16
48028	V	Acton Vale	90.88	7664	Acton	16
48038	M	Upton	51.02	2014	Acton	16
48045	M	Saint-Théodore-d'Acton	83.6	1551	Acton	16
48050	P	Saint-Nazaire-d'Acton	57.49	864	Acton	16
53005	M	Saint-David	91.08	834	Pierre-De Saurel	16
53010	VL	Massueville	1.29	553	Pierre-De Saurel	16
53015	M	Saint-Aimé	61.33	527	Pierre-De Saurel	16
53020	M	Saint-Robert	64.93	1813	Pierre-De Saurel	16
53025	M	Sainte-Victoire-de-Sorel	74.9	2403	Pierre-De Saurel	16
53032	V	Saint-Ours	58.5	1657	Pierre-De Saurel	16
53040	M	Saint-Roch-de-Richelieu	34.86	1858	Pierre-De Saurel	16
53050	V	Saint-Joseph-de-Sorel	1.4	1850	Pierre-De Saurel	16
53052	V	Sorel-Tracy	56.58	34663	Pierre-De Saurel	16
53065	M	Sainte-Anne-de-Sorel	36.51	2801	Pierre-De Saurel	16
53072	M	Yamaska	74.44	1692	Pierre-De Saurel	16
53085	P	Saint-Gérard-Majella	37.81	259	Pierre-De Saurel	16
