Week	Date	Opponent	Result	Attendance
1	September 4, 1978	Baltimore Colts	W 38–0	64224
2	September 10, 1978	at New York Giants	W 34–24	73265
3	September 17, 1978	at Los Angeles Rams	L 27–14	65749
4	September 24, 1978	St. Louis Cardinals	W 21–12	62760
5	October 2, 1978	at Washington Redskins	L 9–5	55031
6	October 8, 1978	New York Giants	W 24–3	63420
7	October 15, 1978	at St. Louis Cardinals	W 24–21	48991
8	October 22, 1978	Philadelphia Eagles	W 14–7	60525
9	October 26, 1978	Minnesota Vikings	L 21–10	61848
10	November 5, 1978	at Miami Dolphins	L 23–16	69414
11	November 12, 1978	at Green Bay Packers	W 42–14	55256
12	November 19, 1978	New Orleans Saints	W 27–7	57920
13	November 23, 1978	Washington Redskins	W 37–10	64905
14	December 3, 1978	New England Patriots	W 17–10	63263
15	December 10, 1978	at Philadelphia Eagles	W 31–13	64667
16	December 17, 1978	at New York Jets	W 30–7	52532
