Week	Date	Opponent	Result	Attendance
1	September 16, 1973	San Francisco 49ers	W 21–13	68275
2	September 23, 1973	at Oakland Raiders	L 7–12	74121
3	September 30, 1973	New England Patriots	W 44–23	62508
4	October 7, 1973	New York Jets	W 31–3	63850
5	October 15, 1973	at Cleveland Browns	W 17–9	70070
6	October 21, 1973	Buffalo Bills	W 27–6	65241
7	October 28, 1973	at New England Patriots	W 30–14	57617
8	November 4, 1973	at New York Jets	W 24–14	57791
9	November 11, 1973	Baltimore Colts	W 44–0	60332
10	November 18, 1973	at Buffalo Bills	W 17–0	77138
11	November 22, 1973	at Dallas Cowboys	W 14–7	58089
12	December 3, 1973	Pittsburgh Steelers	W 30–26	68901
13	December 9, 1973	at Baltimore Colts	L 3–16	58446
14	December 15, 1973	Detroit Lions	W 34–7	53375
