Week	Date	Opponent	Result	Attendance
1	September 15, 1968	at Buffalo Bills	W 48–6	43057
2	September 21, 1968	at Miami Dolphins	W 47–21	30021
3	September 29, 1968	at Houston Oilers	W 24–15	46098
4	October 6, 1968	Boston Patriots	W 41–10	44253
5	October 13, 1968	San Diego Chargers	L 23–14	53257
6	October 20, 1968	at Kansas City Chiefs	L 24–10	50015
7	October 27, 1968	Cincinnati Bengals	W 31–10	37083
8	November 3, 1968	Kansas City Chiefs	W 38–21	53357
9	November 10, 1968	at Denver Broncos	W 43–7	50002
10	November 17, 1968	New York Jets	W 43–32	53118
11	November 24, 1968	at Cincinnati Bengals	W 34–0	27116
12	November 28, 1968	Buffalo Bills	W 13–10	39883
13	December 8, 1968	Denver Broncos	W 33–27	47754
14	December 15, 1968	at San Diego Chargers	W 34–27	40698
