Week	Date	Opponent	Result	Attendance
1	September 7, 1962	at Denver Broncos	L 30–21	28000
2	September 16, 1962	New York Titans	W 40–14	22003
3	September 23, 1962	Houston Oilers	L 42–17	28061
4	September 30, 1962	at Oakland Raiders	W 42–33	13000
5	October 7, 1962	Dallas Texans	W 32–28	23092
6	October 13, 1962	at Buffalo Bills	L 35–10	20074
7	October 19, 1962	at Boston Patriots	L 24–20	20888
8	October 28, 1962	at New York Titans	L 23–3	21467
9	November 4, 1962	Denver Broncos	L 23–20	20827
10	November 11, 1962	Buffalo Bills	L 40–20	22204
11	November 25, 1962	at Houston Oilers	L 33–27	28235
12	December 2, 1962	Oakland Raiders	W 31–21	17874
13	December 9, 1962	Boston Patriots	L 20–14	19887
14	December 16, 1962	at Dallas Texans	L 26–17	18384
