Date	Visitor	Score	Home	Decision	Attendance	Record
January 2	Atlanta	5 – 4	Carolina	Hedberg	13506	20–20–1
January 4	Carolina	4 – 3	Atlanta	Lehtonen	16097	20–21–1
January 6	Buffalo	2 – 5	Atlanta	Hedberg	15213	21–21–1
January 8	Philadelphia	4 – 1	Atlanta	Hedberg	13047	21–22–1
January 10	Florida	3 – 2	Atlanta	Lehtonen	14805	21–22–2
January 12	Pittsburgh	2 – 3	Atlanta	Lehtonen	18545	22–22–2
January 15	Atlanta	5 – 1	Detroit	Lehtonen	17408	23–22–2
January 17	Montreal	3 – 2	Atlanta	Lehtonen	16181	23–22–3
January 18	Atlanta	1 – 10	Buffalo	Hedberg	18690	23–23–3
January 20	Edmonton	4 – 2	Atlanta	Lehtonen	16683	23–24–3
January 22	Atlanta	0 – 4	NY Rangers	Lehtonen	18200	23–25–3
January 24	Atlanta	1 – 2	NY Rangers	Hedberg	18200	23–25–4
January 30	Pittsburgh	1 – 4	Atlanta	Lehtonen	14070	24–25–4
