Week	Date	Opponent	Result	Attendance
1	September 12, 1976	at New Orleans Saints	W 40-9	58156
2	September 19, 1976	Los Angeles Rams	T 10-10 (OT)	47310
3	September 26, 1976	at Detroit Lions	W 10-9	77292
4	October 4, 1976	Pittsburgh Steelers	W 17-6	47809
5	October 10, 1976	Chicago Bears	W 20-19	47614
6	October 17, 1976	New York Giants	W 24-7	46508
7	October 24, 1976	at Philadelphia Eagles	W 31-12	56233
8	October 31, 1976	at Chicago Bears	L 14-13	53602
9	November 7, 1976	Detroit Lions	W 31-23	46735
10	November 14, 1976	Seattle Seahawks	W 27-21	45087
11	November 21, 1976	at Green Bay Packers (Milw)	W 17-10	53104
12	November 29, 1976	at San Francisco 49ers	L 20-16	56775
13	December 5, 1976	Green Bay Packers	W 20-9	43700
14	December 11, 1976	at Miami Dolphins	W 29-7	46543
