Date	Result	Score	Stadium	City	Crowd
1 August 1997	Perth Reds def. Paris-St Germain	18-8	WACA Ground	Perth	5160
1 August 1997	Canterbury Bulldogs def. London Broncos	44-22	The Stoop	London	6923
2 August 1997	Cronulla Sharks def. Bradford Bulls	40-12	Shark Park	Sydney	8272
3 August 1997	Auckland Warriors def. Warrington Wolves	16-4	Lancaster Park	Christchurch	6500
3 August 1997	Hunter Mariners def. Sheffield Eagles	58-12	Topper Stadium	Newcastle	1965
3 August 1997	North Queensland Cowboys def. Leeds Rhinos	48-14	Headingley Stadium	Leeds	12224
3 August 1997	Salford Reds def. Adelaide Rams	14-12	The Willows	Salford	6995
3 August 1997	Canberra Raiders def. Wigan Warriors	50-10	Central Park	Wigan	12504
4 August 1997	Penrith Panthers def. St Helens	32-26	Penrith Oval	Penrith	5000
4 August 1997	Brisbane Broncos def. Halifax Blue Sox	54-10	Thrum Hall	Halifax	3255
