Week	Date	Opponent	Result	Attendance
1	September 16, 1968	at St. Louis Cardinals	W 24-13	49757
2	September 22, 1968	Pittsburgh Steelers	W 45-10	49647
3	September 29, 1968	at Cleveland Browns	W 24-6	82514
4	October 6, 1968	San Francisco 49ers	W 24-10	69520
5	October 13, 1968	at Green Bay Packers	W 16-14	49646
6	October 20, 1968	Atlanta Falcons	W 27-14	54443
7	October 27, 1968	at Baltimore Colts	L 27-10	60238
8	November 3, 1968	Detroit Lions	W 10-7	77982
9	November 10, 1968	at Atlanta Falcons	W 17-10	53979
10	November 17, 1968	at San Francisco 49ers	T 20-20	41815
11	November 24, 1968	New York Giants	W 24-21	68534
12	December 1, 1968	at Minnesota Vikings	W 31-3	47644
13	December 8, 1968	Chicago Bears	L 17-16	66368
14	December 15, 1968	Baltimore Colts	L 28-24	69397
