Date	Visitor	Home	Leading scorer	Attendance	Record
November 2, 2007	Warriors	Clippers	Chris Kaman (26)	19060	1–0
November 4, 2007	Sonics	Clippers	Corey Maggette (27)	17376	2–0
November 6, 2007	Clippers	Bulls	Cuttino Mobley (33)	21742	3–0
November 7, 2007	Clippers	Pacers	Sam Cassell (35)	10122	4–0
November 9, 2007	Clippers	Pistons	Chris Kaman (25)	22076	4–1
November 11, 2007	Cavaliers	Clippers	Sam Cassell (28)	15541	4–2
November 14, 2007	Knicks	Clippers	Chris Kaman (14)	15296	5–2
November 16, 2007	Clippers	Warriors	Tim Thomas (25)	19596	5–3
November 17, 2007	Bulls	Clippers	Chris Kaman (24)	17535	5–4
November 21, 2007	Nuggets	Clippers	Two Way Tie (17)	17221	6–4
November 23, 2007	Clippers	Suns	Sam Cassell (26)	18422	6–5
November 24, 2007	Hornets	Clippers	Cuttino Mobley (20)	15601	6–6
November 26, 2007	Rockets	Clippers]	Cuttino Mobley (22)	15452	6–7
November 30, 2007	Clippers	Nuggets	Corey Maggette (26)	14230	6–8
