Date	Opponent	Score	Loss	Attendance	Record
May 1	@ Indians	7 - 5	Springer (1-4)	42712	12-15
May 2	@ Indians	5 - 1	Saunders (1-3)	42525	12-16
May 3	@ Indians	10 - 8	Hernández (0-2)	42597	12-17
May 5	@ Royals	4 - 2	Álvarez (3-4)	12096	12-18
May 6	@ Royals	5 - 0	Rusch (3-4)	11401	13-18
May 8	Orioles	8 - 2	Lopez (0-1)	35355	13-19
May 9	Orioles	7 - 0	Springer (1-5)	42486	13-20
May 10	Orioles	4 - 3	Mills (0-1)	34123	14-20
May 11	Indians	4 - 2	Burba (3-4)	30334	15-20
May 12	Indians	6 - 5 (15)	Jackson (0-1)	30194	16-20
May 13	Royals	4 - 0	Saunders (1-4)	25244	16-21
May 14	Royals	10 - 2	Springer (1-6)	24296	16-22
May 15	@ Orioles	4 - 1	Erickson (4-2)	47421	17-22
May 16	@ Orioles	5 - 2	Belcher (2-5)	47538	18-22
May 17	@ Orioles	7 - 3	Mills (0-2)	47628	19-22
May 18	@ Orioles	6 - 3	Drabek (3-5)	45033	20-22
May 19	@ Blue Jays	3 - 1	Springer (1-7)	25662	20-23
May 20	@ Blue Jays	9 - 1	Álvarez (4-5)	26107	20-24
May 21	@ Blue Jays	6 - 1	Arrojo (6-3)	30108	20-25
May 22	@ Mariners	5 - 2	Moyer (2-5)	29522	21-25
May 23	@ Mariners	6 - 3	Ayala (0-4)	35819	22-25
May 24	@ Mariners	3 - 1	Springer (1-8)	46867	22-26
May 25	@ Athletics	8 - 2	Ruebel (0-1)	13199	22-27
May 26	@ Athletics	7 - 2	Candiotti (4-5)	9801	23-27
May 28	Mariners	5 - 2	Johnson (2-2)	27017	23-28
May 29	Mariners	6 - 2	Saunders (1-5)	32142	23-29
May 30	Mariners	5 - 2	Cloude (3-3)	40212	24-29
May 31	Mariners	11 - 6	White (0-1)	35184	24-30
