Rank	Airport	Code (IATA/ICAO)	Total Cargo (Metric Tonnes)	% Change
1	Hong Kong International Airport	HKG/VHHH	3968397	4.7%
2	Memphis International Airport	MEM/KMEM	3916535	0.0%
3	Shanghai Pudong International Airport	PVG/ZSPD	3103030	4.3%
4	Ted Stevens Anchorage International Airport	ANC/PANC	2625201	0.5%
5	Incheon International Airport	ICN/RKSI	2539222	5.4%
6	Dubai International Airport	DXB/OMDB	2269768	0.0%
7	Frankfurt Airport	FRA/EDDF	2215181	2.6%
8	Louisville International Airport	SDF/KSDF	2187766	1.%
9	Paris-Charles de Gaulle Airport	CDG/LFPG	2095733	4.0%
10	Narita International Airport	NRT/RJAA	1945110	10.3%
11	Singapore Changi Airport	SIN/WSSS	1898850	3.1%
12	Miami International Airport	MIA/KMIA	1840231	0.2%
13	Los Angeles International Airport	LAX/KLAX	1688351	7.2%
14	Beijing Capital International Airport	PEK/ZBAA	1668751	7.7%
15	Taiwan Taoyuan International Airport	TPE/RCTP	1627461	7.9%
16	London Heathrow Airport	LHR/EGLL	1569450	1.2%
17	Amsterdam Airport Schiphol	AMS/EHAM	1549686	0.8%
18	O'Hare International Airport	ORD/KORD	1506117	1.0%
19	John F. Kennedy International Airport	JFK/KJFK	1351259	0.1%
20	Suvarnabhumi Airport	BKK/VTBS	1321842	0.9%
21	Guangzhou Baiyun International Airport	CAN/ZGGG	1193036	4.2%
22	Indianapolis International Airport	IND/KIND	907594	4.2%
23	Tokyo International Airport	HND/RJTT	873016	6.7%
24	Shenzhen Bao'an International Airport	SZX/ZGSZ	826022	2.1%
25	Doha International Airport	DOH/OTBD	808099	14.2%
26	Newark Liberty International Airport	EWR/KEWR	807202	6.0%
27	Leipzig/Halle Airport	LEJ/EDDP	743981	16.5%
28	Kansai International Airport	KIX/RJBB	759278	2.1%
29	Cologne Bonn Airport	CGN/EDDK	726259	12.8%
30	Kuala Lumpur International Airport	KUL/WMKK	702116	0.7%
