Date	Visitor	Score	Home	Decision	Attendance	Record
October 4	New Jersey	1 – 3	Tampa Bay	Brodeur	19454	0–1–0
October 6	New Jersey	4 – 1	Florida	Weekes	19250	1–1–0
October 8	New Jersey	2 – 4	Ottawa	Brodeur	18260	1–2–0
October 11	New Jersey	0 – 3	Florida	Brodeur	10847	1–3–0
October 13	New Jersey	6 – 5	Atlanta	Brodeur	15606	2–3–0
October 17	New Jersey	5 – 4	Pittsburgh	Brodeur	16990	3–3–0
October 18	New Jersey	0 – 4	Philadelphia	Brodeur	19113	3–4–0
October 20	New Jersey	3 – 4	NY Islanders	Weekes	14092	3–4–1
October 25	New Jersey	0 – 2	NY Rangers	Brodeur	18200	3–5–1
October 27	Ottawa	4 – 1	New Jersey	Brodeur	17625	3–6–1
October 31	Tampa Bay	1 – 6	New Jersey	Brodeur	13218	4–6–1
