Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 6	Infiniti Tournament of Champions	California	Tom Kite (15)	272 (–16)	144000
Jan 13	Northern Telecom Open	Arizona	Phil Mickelson (amateur,1)	272 (–16)	180000
Jan 20	United Hawaiian Open	Hawaii	Lanny Wadkins (20)	270 (–18)	198000
Jan 27	Phoenix Open	Arizona	Nolan Henke (2)	268 (–16)	180000
Feb 3	AT&T Pebble Beach National Pro-Am	California	Paul Azinger (7)	274 (–14)	198000
Feb 10	Bob Hope Chrysler Classic	California	Corey Pavin (8)	331 (–29)	198000
Feb 17	Shearson Lehman Brothers Open	California	Jay Don Blake (1)	268 (–20)	180000
Feb 24	Nissan Los Angeles Open	California	Ted Schulz (2)	272 (–12)	180000
Mar 4	Doral-Ryder Open	Florida	Rocco Mediate (1)	276 (–12)	252000
Mar 10	Honda Classic	Florida	Steve Pate (4)	279 (–9)	180000
Mar 17	Nestle Invitational	Florida	Andrew Magee (2)	203 (–13)	180000
Mar 24	USF&G Classic	Louisiana	Ian Woosnam (1)	275 (–13)	180000
Mar 31	The Players Championship	Florida	Steve Elkington (2)	276 (–12)	288000
Apr 14	Masters Tournament	Georgia	Ian Woosnam (2)	277 (–11)	243000
Apr 21	MCI Heritage Golf Classic	South Carolina	Davis Love III (3)	271 (–13)	180000
Apr 28	KMart Greater Greensboro Open	North Carolina	Mark Brooks (2)	275 (–13)	225000
May 5	GTE Byron Nelson Golf Classic	Texas	Nick Price (2)	270 (–10)	198000
May 12	BellSouth Atlanta Golf Classic	Georgia	Corey Pavin (9)	272 (–16)	180000
May 19	Memorial Tournament	Ohio	Kenny Perry (1)	273 (–15)	216000
May 26	Southwestern Bell Colonial	Texas	Tom Purtzer (4)	267 (–13)	216000
Jun 2	Kemper Open	Maryland	Billy Andrade (1)	263 (–21)	180000
Jun 9	Buick Classic	New York	Billy Andrade (2)	273 (–11)	180000
Jun 16	U.S. Open	Minnesota	Payne Stewart (8)	282 (–3)	235000
Jun 23	Anheuser-Busch Golf Classic	Virginia	Mike Hulbert (3)	266 (–18)	180000
Jun 30	Federal Express St. Jude Classic	Tennessee	Fred Couples (5)	269 (–15)	180000
Jul 7	Centel Western Open	Illinois	Russ Cochran (1)	275 (–13)	180000
Jul 14	New England Classic	Massachusetts	Bruce Fleisher (1)	268 (–16)	180000
Jul 21	Chattanooga Classic	Tennessee	Dillard Pruitt (1)	260 (–20)	126000
Jul 21	British Open	England	Ian Baker-Finch (2)	272 (–8)	151200
Jul 28	Canon Greater Hartford Open	Connecticut	Billy Ray Brown (1)	271 (–9)	180000
Aug 4	Buick Open	Michigan	Brad Faxon (1)	271 (–17)	180000
Aug 11	PGA Championship	Indiana	John Daly (1)	276 (–12)	230000
Aug 18	The International	Colorado	José María Olazábal (2)	10 ( Stableford )	198000
Aug 25	NEC World Series of Golf	Ohio	Tom Purtzer (5)	279 (–1)	216000
Sep 1	Greater Milwaukee Open	Wisconsin	Mark Brooks (3)	270 (–18)	180000
Sep 8	Canadian Open	Canada	Nick Price (3)	273 (–15)	180000
Sep 15	Hardee's Golf Classic	Illinois	D. A. Weibring (3)	267 (–13)	180000
Sep 22	B.C. Open	New York	Fred Couples (6)	269 (–15)	144000
Sep 29	Buick Southern Open	Georgia	David Peoples (1)	276 (–12)	126000
Oct 6	H.E.B. Texas Open	Texas	Blaine McCallister (4)	269 (–11)	162000
Oct 13	Las Vegas Invitational	Nevada	Andrew Magee (3)	329 (–31)	270000
Oct 19	Walt Disney World/Oldsmobile Classic	Florida	Mark O'Meara (7)	267 (–21)	180000
Oct 26	Independent Insurance Agent Open	Texas	Fulton Allem (1)	273 (–15)	144000
Nov 3	The Tour Championship	North Carolina	Craig Stadler (9)	277 (–7)	360000
