Date	Opponent	Score	Loss	Attendance	Record
September 1	@ Tigers	7 - 4	Walker (3-3)	10986	62-76
September 2	@ Tigers	8 - 6	Durbin (0-1)	9318	62-77
September 3	@ Tigers	6 - 5 (11)	Santiago (1-2)	10234	62-78
September 4	@ Tigers	2 - 1	Westbrook (6-9)	11371	62-79
September 5	@ White Sox	5 - 3	Traber (6-8)	27196	62-80
September 6	@ White Sox	8 - 5	Cressend (2-1)	24796	62-81
September 7	@ White Sox	7 - 3	Báez (1-8)	19999	62-82
September 9	@ Royals	7 - 1	Gobble (3-4)	12389	63-82
September 10	@ Royals	9 - 7	Santiago (1-3)	21581	63-83
September 11	@ Royals	6 - 5	Grimsley (2-6)	13188	64-83
September 12	Twins	4 - 3	Rogers (11-8)	20679	65-83
September 13	Twins	2 - 0	Stanford (0-2)	20440	65-84
September 14	Twins	5 - 3	Báez (2-9)	19452	65-85
September 15	Twins	13 - 6	Davis (8-11)	16967	65-86
September 16	Royals	12 - 8	Traber (6-9)	16145	65-87
September 17	Royals	9 - 1	Abbott (1-2)	16363	66-87
September 18	Royals	3 - 2	Sabathia (13-9)	17275	66-88
September 19	Red Sox	2 - 0	Stanford (0-3)	20374	66-89
September 20	Red Sox	13 - 4	Lowe (16-7)	23242	67-89
September 21	Red Sox	2 - 0	Lee (3-2)	27655	67-90
September 23	@ Twins	4 - 1	Westbrook (7-10)	33650	67-91
September 24	@ Twins	3 - 2	Betancourt (2-2)	32986	67-92
September 26	@ Blue Jays	2 - 1	Lidle (12-15)	13861	68-92
September 27	@ Blue Jays	5 - 4	Mulholland (3-4)	21504	68-93
September 28	@ Blue Jays	6 - 2	Lee (3-3)	22014	68-94
