Draw	Language	Artist	Song	English translation	Place	Points
1	English	Andrea Demirović	" Just Get Out of My Life "	—	11	44
2	English , Romani	Gipsy.cz	" Aven Romale "	Come in gypsies	18	0
3	English	Patrick Ouchène	" Copycat "	—	17	1
4	English	Petr Elfimov	" Eyes That Never Lie "	—	13	25
5	French , English	Malena Ernman	" La voix "	The voice	4	105
6	English , Armenian	Inga and Anush	" Jan Jan " (Ջան Ջան)	My dear	5	99
7	English , Catalan	Susanne Georgi	" La teva decisió (Get a Life) "	Your decision	15	8
8	English	Lovebugs	" The Highest Heights "	—	14	15
9	English	Hadise	" Düm Tek Tek "	— [A]	2	172
10	English , Hebrew , Arabic	Noa and Mira Awad	" There Must Be Another Way "	—	7	75
11	English	Krassimir Avramov	" Illusion "	—	16	7
12	English	Yohanna	" Is It True? "	—	1	174
13	Macedonian	Next Time	" Nešto što kje ostane " (Нешто што ќе остане)	Something that will remain	10	45
14	English	Elena	" The Balkan Girls "	—	9	67
15	English	Waldo's People	" Lose Control "	—	12	42
16	Portuguese	Flor-de-Lis	" Todas as ruas do amor "	All the streets of love	8	70
17	English	Chiara	" What If We "	—	6	86
18	Bosnian	Regina	" Bistra voda "	Clear water	3	125
