Draw	Artist	Song	Televote	Place
1	Ingrida Žiliūtė	"You and I"	638	9
2	Vilma Voroblevaitė	"Vakaras"	247	14
3	Julija and Girma	"To My Soul"	466	12
4	Laiptai	"Aš rasiu"	1216	8
5	"Funny Beat"	Evertown	1677	7
6	Augustė	"Do Somethin'"	5145	6
7	Mini Me	"Yes"	5936	5
8	Pokeris	"Stone"	633	10
9	Justinas Lapatinskas	"Muziką garsiau!"	299	13
10	Jeronimas Milius	"Nomads in the Night"	11674	1
11	Aistė Pilvelytė	"Troy on Fire"	11242	2
12	Sasha Son	"Miss Kiss"	8306	3
13	Raimonda Masiulytė	"Birdie's Tweet"	7391	4
14	Nerri	"Step into this World"	610	11
