Week	Date	Opponent	Result	Attendance
1	September 21, 1975	New Orleans Saints	W 41-3	54414
2	September 28, 1975	New York Giants	W 49-13	54953
3	October 5, 1975	at Philadelphia Eagles	L 26-10	64397
4	October 13, 1975	St. Louis Cardinals	W 27-17	54693
5	October 19, 1975	at Houston Oilers	L 13-10	49566
6	October 26, 1975	at Cleveland Browns	W 23-7	56702
7	November 2, 1975	Dallas Cowboys	W 30-24	55004
8	November 9, 1975	at New York Giants	W 21-13	57242
9	November 16, 1975	at St. Louis Cardinals	L 20-17	49919
10	November 23, 1975	Oakland Raiders	L 26-23	53582
11	November 30, 1975	Minnesota Vikings	W 31-30	54498
12	December 7, 1975	at Atlanta Falcons	W 30-27	52809
13	December 13, 1975	at Dallas Cowboys	L 31-10	61091
14	December 21, 1975	Philadelphia Eagles	L 26-3	49385
