Date	Opponent	Score	Loss	Attendance	Record
May 1	Angels	7 - 4	Key (0-2)	20102	9-12
May 2	Mariners	3 - 2 (11)	Eichhorn (2-2)	18134	9-13
May 3	Mariners	4 - 2	Acker (0-2)	27115	9-14
May 4	Mariners	3 - 2	Moore (1-3)	22154	10-14
May 5	Athletics	10 - 6	Krueger (0-1)	20111	11-14
May 6	Athletics	17 - 3	Key (0-3)	22177	11-15
May 7	@ Angels	6 - 2	Clancy (2-2)	24895	11-16
May 8	@ Angels	7 - 6	Forster (3-1)	23650	12-16
May 9	@ Mariners	13 - 3	Stieb (0-4)	12026	12-17
May 10	@ Mariners	8 - 7 (11)	Henke (3-2)	20155	12-18
May 11	@ Mariners	4 - 3	Swift (0-3)	10172	13-18
May 12	@ Athletics	5 - 3	Andújar (4-2)	20126	14-18
May 13	@ Athletics	6 - 3 (10)	Lamp (0-3)	7124	14-19
May 14	@ Athletics	9 - 4	Stieb (0-5)	10940	14-20
May 16	Indians	7 - 6	Candiotti (2-4)	21251	15-20
May 17	Indians	11 - 5	Heaton (1-3)	27473	16-20
May 18	Indians	10 - 2	Schulze (2-1)	28063	17-20
May 19	Indians	6 - 4	Stieb (0-6)	27202	17-21
May 20	@ White Sox	2 - 1	Cerutti (0-1)	12837	17-22
May 21	@ White Sox	5 - 4	Acker (1-3)	13976	17-23
May 22	@ White Sox	5 - 0	Dotson (2-4)	12605	18-23
May 23	@ Indians	3 - 1	Clancy (4-3)	61340	18-24
May 24	@ Indians	9 - 6	Easterly (0-2)	12348	19-24
May 25	@ Indians	8 - 1	Schrom (3-2)	13772	20-24
May 26	@ Twins	9 - 1	Alexander (3-2)	10885	20-25
May 27	@ Twins	7 - 6 (11)	Henke (3-3)	9052	20-26
May 28	@ Twins	14 - 8	Blyleven (4-4)	9133	21-26
May 30	White Sox	6 - 0	Davis (2-2)	31125	22-26
May 31	White Sox	4 - 3 (11)	Nelson (4-2)	40145	23-26
