Date	Visitor	Score	Home	Decision	Attendance	Record
October 4	Colorado	0 – 4	Nashville	Mason	16363	1–0–0
October 6	Dallas	1 – 5	Nashville	Mason	13079	2–0–0
October 10	Nashville	1 – 4	St. Louis	Mason	19150	2–1–0
October 11	Phoenix	6 – 3	Nashville	Mason	12155	2–2–0
October 13	Calgary	7 – 4	Nashville	Mason	13152	2–3–0
October 17	Nashville	1 – 3	Anaheim	Mason	17174	2–4–0
October 20	Nashville	0 – 3	San Jose	Mason	17496	2–5–0
October 23	Nashville	0 – 6	Los Angeles	Mason	14026	2–6–0
October 25	Atlanta	0 – 3	Nashville	Ellis	13383	3–6–0
October 27	Florida	3 – 4	Nashville	Ellis	15767	4–6–0
October 30	Nashville	1 – 5	Calgary	Mason	19289	4–7–0
