Week	Date	Opponent	Result	Attendance
1	September 28, 1952	at Dallas Texans	W 24–6	17499
2	October 4, 1952	at Philadelphia Eagles	W 31–7	18648
3	October 12, 1952	at Cleveland Browns	W 17–9	51858
4	October 19, 1952	Chicago Cardinals	L 24–23	41182
5	October 26, 1952	Philadelphia Eagles	L 14–10	21458
6	November 2, 1952	at Chicago Cardinals	W 28–6	27195
7	November 9, 1952	San Francisco 49ers	W 23–14	54230
8	November 16, 1952	Green Bay Packers	L 17–3	26723
9	November 23, 1952	at Washington Redskins	W 14–10	21125
10	November 30, 1952	at Pittsburgh Steelers	L 63–7	15140
11	December 7, 1952	Washington Redskins	L 27–17	21237
12	December 14, 1952	Cleveland Browns	W 37–34	41610
