Date	Opponent	Venue	Result	Attendance
9 August 1997	Newcastle United	A	1–2	36711
13 August 1997	Leeds United	H	1–3	31520
23 August 1997	Wimbledon	A	1–1	11503
27 August 1997	Blackburn Rovers	A	2–7	19618
30 August 1997	Leicester City	H	1–0	24851
13 September 1997	Liverpool	A	1–2	34705
20 September 1997	Coventry City	H	0–0	21087
24 September 1997	Derby County	H	2–5	22391
27 September 1997	Aston Villa	A	2–2	32044
4 October 1997	Everton	H	3–1	24486
19 October 1997	Tottenham Hotspur	A	2–3	25097
25 October 1997	Crystal Palace	H	1–3	22072
1 November 1997	Manchester United	A	1–6	55259
8 November 1997	Bolton Wanderers	H	5–0	25027
22 November 1997	Arsenal	H	2–0	34373
29 November 1997	Southampton	A	3–2	15244
8 December 1997	Barnsley	H	2–1	29086
13 December 1997	West Ham United	A	0–1	24344
20 December 1997	Chelsea	H	1–4	28334
26 December 1997	Blackburn Rovers	H	0–0	33502
28 December 1997	Leicester City	A	1–1	20800
10 January 1998	Newcastle United	H	2–1	29446
17 January 1998	Leeds United	A	2–1	33166
31 January 1998	Wimbledon	H	1–1	22655
7 February 1998	Coventry City	A	0–1	18375
14 February 1998	Liverpool	H	3–3	35405
21 February 1998	Tottenham Hotspur	H	1–0	29871
28 February 1998	Derby County	A	0–3	30203
7 March 1998	Manchester United	H	2–0	39427
14 March 1998	Bolton Wanderers	A	2–3	24847
28 March 1998	Arsenal	A	0–1	38087
4 April 1998	Southampton	H	1–0	29677
11 April 1998	Barnsley	A	1–2	18692
13 April 1998	West Ham United	H	1–1	28036
19 April 1998	Chelsea	A	0–1	29075
25 April 1998	Everton	A	3–1	35497
2 May 1998	Aston Villa	H	1–3	34177
10 May 1998	Crystal Palace	A	0–1	16876
