Week	Date	Opponent	Result	Attendance
1	September 17, 1972	at San Francisco 49ers	L 34–3	59438
2	September 24, 1972	Denver Broncos	W 37–14	49048
3	October 1, 1972	at Oakland Raiders	T 17–17	53455
4	October 8, 1972	at Baltimore Colts	W 23–20	55459
5	October 15, 1972	at Miami Dolphins	L 24–10	80010
6	October 22, 1972	at Detroit Lions	L 34–20	54371
7	October 29, 1972	Kansas City Chiefs	L 26–14	54533
8	November 5, 1972	Dallas Cowboys	L 34–28	54476
9	November 13, 1972	Cleveland Browns	L 21–17	54205
10	November 19, 1972	at Kansas City Chiefs	W 27–17	79011
11	November 26, 1972	Houston Oilers	W 34–20	46289
12	December 3, 1972	Oakland Raiders	L 21–19	54611
13	December 10, 1972	at Denver Broncos	L 38–13	51478
14	December 17, 1972	Pittsburgh Steelers	L 24–2	52873
