Stadium	Capacity	City	Region	Home Team	Opened
Stade de France	81338	Paris	Île-de-France	France national football team	1998
Stade Vélodrome	60013	Marseille	Provence-Alpes-Côte d'Azur	Olympique de Marseille	1937
Grand Stade Lille Métropole	50186	Villeneuve-d'Ascq	Nord-Pas-de-Calais	Lille OSC	2012
Parc des Princes	48712	Paris	Île-de-France	Paris Saint-Germain FC	1897
Stade Félix Bollaert	41233	Lens	Nord-Pas-de-Calais	RC Lens	1932
Stade Gerland	41044	Lyon	Rhône-Alpes	Olympique Lyonnais	1926
Stade de la Beaujoire	38285	Nantes	Pays de la Loire	FC Nantes Atlantique	1984
Allianz Riviera	35624	Nice	Provence-Alpes-Côte d'Azur	OGC Nice	2013
Stade Geoffroy-Guichard	35616	Saint-Étienne	Rhône-Alpes	AS Saint-Étienne	1931
Stadium Municipal	35575	Toulouse	Midi-Pyrénées	Toulouse FC	1937
Stade Chaban-Delmas	34462	Bordeaux	Aquitaine	FC Girondins de Bordeaux	1938
Stade de la Mosson	32939	Montpellier	Languedoc-Roussillon	Montpellier HSC	1972
Stade de la Route de Lorient	31127	Rennes	Brittany	Stade Rennais FC	1912
Stade de la Meinau	29230	Strasbourg	Alsace	RC Strasbourg	1914
Stade Municipal Saint-Symphorien	26700	Metz	Lorraine	FC Metz	1923
Grand Stade du Havre	25178	Le Havre	Upper Normandy	Le Havre AC	2012
MMArena	25000	Le Mans	Pays de la Loire	Le Mans UC	2011
Stade du Hainaut	24926	Valenciennes	Nord-Pas-de-Calais	Valenciennes FC	2011
Stade de l'Abbé-Deschamps	23467	Auxerre	Bourgogne	AJ Auxerre	1918
Stade Louis Dugauguez	23189	Sedan	Champagne-Ardenne	Club Sportif Sedan Ardennes	2000
Stade Michel d'Ornano	22500	Caen	Lower Normandy	Stade Malherbe Caen	1993
Stade Auguste-Delaune	21684	Reims	Champagne-Ardenne	Stade Reims	1935
Stade de l'Aube	20400	Troyes	Champagne-Ardenne	Troyes AC	1956
Stade Marcel Picot	20087	Tomblaine	Lorraine	AS Nancy	1926
Stade des Alpes	20068	Grenoble	Rhône-Alpes	Grenoble Foot 38	2008
Stade Auguste Bonal	20025	Montbéliard	Franche-Comté	FC Sochaux-Montbéliard	2000
Stade Sébastien Charléty	20000	Paris	Île-de-France	Paris FC	1938
