Week	Date	Opponent	Result	Attendance
1	September 6, 1968	Cincinnati Bengals	W 29–13	33687
2	September 21, 1968	Houston Oilers	W 30–14	46217
3	September 29, 1968	at Cincinnati Bengals	W 31–10	28642
4	October 5, 1968	at New York Jets	L 23–20	63786
5	October 13, 1968	at Oakland Raiders	W 23–14	53257
6	October 20, 1968	Denver Broncos	W 55–24	42953
7	October 27, 1968	at Kansas City Chiefs	L 27–20	50344
8	November 3, 1968	Miami Dolphins	W 34–28	37284
9	November 10, 1968	at Boston Patriots	W 27–17	19278
10	November 17, 1968	at Buffalo Bills	W 21–6	27993
11	November 24, 1968	New York Jets	L 37–15	51175
12	December 1, 1968	at Denver Broncos	W 47–23	35312
13	December 8, 1968	Kansas City Chiefs	L 40–3	51174
14	December 15, 1968	Oakland Raiders	L 34–27	40698
