Club	City	Stadium	2006–07 result	Capacity
Belišće	Belišće	Gradski stadion	7th in 2. HNL	3000
Croatia Sesvete	Zagreb	Stadion ŠRC Sesvete	3rd in 2. HNL	3500
Hrvatski Dragovoljac	Zagreb	NŠC Stjepan Spajić	4th in 2. HNL	5000
Imotski	Imotski	Gospin dolac	6th in 2. HNL	4000
Istra 1961	Pula	Veruda	11th in 1. HNL	3500
Kamen Ingrad	Velika	Stadion Kamen Ingrad	12th in 1. HNL	8000
Marsonia	Slavonski Brod	Gradski stadion uz Savu	12th in 2. HNL	10000
Moslavina	Kutina	Gradski stadion u Kutini	13th in 2. HNL	2000
Mosor	Žrnovnica	Pricviće	11th in 2. HNL	2000
Pomorac	Kostrena	Žuknica	8th in 2. HNL	3000
Segesta	Sisak	Gradski stadion Sisak	2nd in 3. HNL West	8000
Slavonac CO	Stari Perkovci	Igralište Slavonca	1st in 3. HNL East	1000
Solin	Solin	Stadion pokraj Jadra	5th in 2. HNL	4000
Trogir	Trogir	Poljud	1st in 3. HNL South	35000
Vinogradar	Jastrebarsko	Stadion Mladina	1st in 3. HNL West	2000
Vukovar '91	Vukovar	Gradski stadion u Borovu naselju	9th in 2. HNL	6000
