Date	Opponent	Score	Loss	Attendance	Record
June 1	@ Pirates	2–0	Wagner (4–5)	15633	26–25
June 2	@ Pirates	5–2	Holmes (1–1)	26745	26–26
June 3	@ Pirates	7–2	Farmer (0–1)	8120	26–27
June 4	@ Astros	16–8	Thompson (3–5)	18418	26–28
June 5	@ Astros	4–1	Reynoso (3–5)	14954	26–29
June 6	@ Astros	14–7	Drabek (2–5)	22112	27–29
June 7	Braves	19–8	Bielecki (0–2)	48027	28–29
June 8	Braves	13–12	McMichael (3–1)	48015	29–29
June 9	Braves	8–3	Thompson (3–6)	48036	29–30
June 10	Astros	10–9	Reynoso (3–6)	48007	29–31
June 11	Astros	7–5	Young (2–3)	48014	30–31
June 12	Astros	8–0	Reynolds (8–4)	48024	31–31
June 13	Phillies	4–1	Schilling (2–1)	48018	32–31
June 14	Phillies	10–6	Springer (1–6)	48006	33–31
June 15	Phillies	4–2	Mulholland (5–6)	48023	34–31
June 16	Phillies	11–3	Muñoz (0–2)	48041	35–31
June 17	Expos	5–3	Freeman (4–4)	48021	35–32
June 18	Expos	12–8	Holmes (2–2)	50025	35–33
June 19	Expos	7–6 (10)	Scott (2–2)	48007	36–33
June 21	@ Phillies	4–3 (10)	Ruffin (2–2)	25085	36–34
June 22	@ Phillies	5–4	Hawblitzel (0–1)	28604	36–35
June 23	@ Phillies	7–4	Fernandez (3–6)	33385	37–35
June 24	@ Mets	2–1	Holmes (2–3)	16988	37–36
June 25	@ Mets	3–2	Thompson (3–7)	18251	37–37
June 26	@ Mets	9–5	Reed (1–2)	20675	37–38
June 27	Dodgers	13–1	Astacio (3–6)	48043	38–38
June 28	Dodgers	13–4	Martínez (6–2)	48025	39–38
June 29	Dodgers	13–10	Rekar (2–3)	48009	39–39
June 30	Dodgers	16–15	Worrell (3–4)	48103	40–39
