Week	Date	Opponent	Result	Attendance
1	September 8, 1985	at Houston Oilers	L 26–23	47656
2	September 15, 1985	Indianapolis Colts	W 30–13	53693
3	September 22, 1985	Kansas City Chiefs	W 31–0	69791
4	September 29, 1985	at Denver Broncos	W 30–26	73614
5	October 6, 1985	Pittsburgh Steelers	W 24–20	72820
6	October 14, 1985	at New York Jets	L 23–7	73807
7	October 20, 1985	Tampa Bay Buccaneers	W 41–38	62335
8	October 27, 1985	at Detroit Lions	L 31–21	75291
9	November 3, 1985	at New England Patriots	L 17–13	58811
10	November 10, 1985	New York Jets	W 21–17	73965
11	November 17, 1985	at Indianapolis Colts	W 34–20	59666
12	November 24, 1985	at Buffalo Bills	W 23–14	50474
13	December 2, 1985	Chicago Bears	W 38–24	75594
14	December 8, 1985	at Green Bay Packers	W 34–24	52671
15	December 16, 1985	New England Patriots	W 30–27	69489
16	December 22, 1985	Buffalo Bills	W 28–0	64811
